validation_sample_id,case_category,recommended_priority,model_name,direction_forward,gamma,alpha_index_forward,alpha,segment_initial_phi_forward,segment_peak_phi_forward,final_phi_forward,transport_retention_forward,final_sync_forward,final_energy_forward,initial_coupling_entropy_global_forward,segment_initial_coupling_entropy_forward,final_coupling_entropy_forward,coupling_entropy_drop_forward,final_coupling_spectral_radius_forward,coupling_concentration_forward,final_M_saturation_fraction_forward,final_C_saturation_fraction_forward,segment_M_saturation_max_forward,segment_C_saturation_max_forward,memory_regime_forward,direction_backward,alpha_index_backward,segment_initial_phi_backward,segment_peak_phi_backward,final_phi_backward,transport_retention_backward,final_sync_backward,final_energy_backward,initial_coupling_entropy_global_backward,segment_initial_coupling_entropy_backward,final_coupling_entropy_backward,coupling_entropy_drop_backward,final_coupling_spectral_radius_backward,coupling_concentration_backward,final_M_saturation_fraction_backward,final_C_saturation_fraction_backward,segment_M_saturation_max_backward,segment_C_saturation_max_backward,memory_regime_backward,H_phi,H_sync,H_entropy,H_spectral_radius,saturation_warning_forward,saturation_warning_backward,saturation_warning_any,memory_strength,hysteresis_detected,topology_only_memory_soft,topology_only_memory_strict,transport_memory_dominant,coupled_transport_topology_memory,low_memory,delta_final_phi_abs,delta_spectral_radius_abs,topology_only_score
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,self_reinforced_transport,C,base_stabilized_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0252881960795594,2.4570351352126023,0.6645708447037152,0.1712072866417337,0.4933635580619814,0.0012361566893144,15.622306427548436,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0602410301791937,0.0,0.0,0.0,0.2692637264817154,2.4570351352126023,2.4570351352126023,2.614321081390377,-0.1572859461777742,0.2376471012289978,1.4989239164532009,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.4431137947486428,0.9947983514887564,False,False,False,0.498261912802161,True,True,True,False,False,False,0.0,0.2364109445396834,1.9874019017846143
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,self_reinforced_transport,C,base_stabilized_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0252881960795594,2.4570351352126023,0.6645708447037152,0.1712072866417337,0.4933635580619814,0.0012361566893144,15.622306427548436,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0602410301791937,0.0,0.0,0.0,0.2692637264817154,2.4570351352126023,2.4570351352126023,2.614321081390377,-0.1572859461777742,0.2376471012289978,1.4989239164532009,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.4431137947486428,0.9947983514887564,False,False,False,0.498261912802161,True,True,True,False,False,False,0.0,0.2364109445396834,1.9874019017846143
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,mixed_adaptive_topology_response,B,base_stabilized_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0252881960795594,2.4570351352126023,0.6645708447037152,0.1712072866417337,0.4933635580619814,0.0012361566893144,15.622306427548436,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0602410301791937,0.0,0.0,0.0,0.2692637264817154,2.4570351352126023,2.4570351352126023,2.614321081390377,-0.1572859461777742,0.2376471012289978,1.4989239164532009,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.4431137947486428,0.9947983514887564,False,False,False,0.498261912802161,True,True,True,False,False,False,0.0,0.2364109445396834,1.9874019017846143
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,mixed_adaptive_topology_response,B,base_stabilized_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0252881960795594,2.4570351352126023,0.6645708447037152,0.1712072866417337,0.4933635580619814,0.0012361566893144,15.622306427548436,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0602410301791937,0.0,0.0,0.0,0.2692637264817154,2.4570351352126023,2.4570351352126023,2.614321081390377,-0.1572859461777742,0.2376471012289978,1.4989239164532009,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.4431137947486428,0.9947983514887564,False,False,False,0.498261912802161,True,True,True,False,False,False,0.0,0.2364109445396834,1.9874019017846143
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,stable_synchronization_island,B,base_stabilized_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0252881960795594,2.4570351352126023,0.6645708447037152,0.1712072866417337,0.4933635580619814,0.0012361566893144,15.622306427548436,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0602410301791937,0.0,0.0,0.0,0.2692637264817154,2.4570351352126023,2.4570351352126023,2.614321081390377,-0.1572859461777742,0.2376471012289978,1.4989239164532009,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.4431137947486428,0.9947983514887564,False,False,False,0.498261912802161,True,True,True,False,False,False,0.0,0.2364109445396834,1.9874019017846143
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,stable_synchronization_island,B,base_stabilized_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0252881960795594,2.4570351352126023,0.6645708447037152,0.1712072866417337,0.4933635580619814,0.0012361566893144,15.622306427548436,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0602410301791937,0.0,0.0,0.0,0.2692637264817154,2.4570351352126023,2.4570351352126023,2.614321081390377,-0.1572859461777742,0.2376471012289978,1.4989239164532009,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.4431137947486428,0.9947983514887564,False,False,False,0.498261912802161,True,True,True,False,False,False,0.0,0.2364109445396834,1.9874019017846143
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,mixed_adaptive_topology_response,B,gradient_driven_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0253743396270859,2.347284191955556,0.6595355539546505,0.1726061339326671,0.4869294200219833,0.0012511198465702,15.61310226388376,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0480183479931178,0.0,0.0,0.0,0.2805432776626073,2.347284191955556,2.347284191955556,2.5208669970209514,-0.1735828050653953,0.2477565169359663,1.6763930424528255,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.348260863088284,0.9949502040832754,False,False,False,0.497599595838746,True,True,True,False,False,False,0.0,0.2465053970893961,1.9757194348525062
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,mixed_adaptive_topology_response,B,gradient_driven_coupling,forward,0.2,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0253743396270859,2.347284191955556,0.6595355539546505,0.1726061339326671,0.4869294200219833,0.0012511198465702,15.61310226388376,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,0,0.0029838625790902,0.0480183479931178,0.0,0.0,0.0,0.2805432776626073,2.347284191955556,2.347284191955556,2.5208669970209514,-0.1735828050653953,0.2477565169359663,1.6763930424528255,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,2.348260863088284,0.9949502040832754,False,False,False,0.497599595838746,True,True,True,False,False,False,0.0,0.2465053970893961,1.9757194348525062
n10_ring10_two_edges_removed_cut_e0_e3_probe_e2_e6,mixed_adaptive_topology_response,B,base_stabilized_coupling,forward,0.2,5,0.3,0.0,0.0,0.0,0.0,0.0,0.0260456846186178,2.4570351352126023,1.7878491074392762,0.6645708447037152,1.1232782627355609,0.000999572475489,14.09615963962145,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,1,0.0,0.0,0.0,0.0,0.0,0.1388017821085317,2.4570351352126023,2.614321081390377,2.522971232122139,0.0913498492682376,0.0867860848910416,1.7743720459435368,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,1.858400387418424,0.9884823416365368,False,False,False,0.4952823501150165,True,True,True,False,False,False,0.0,0.0857865124155526,1.9574172528791403
n10_ring10_two_edges_removed_cut_e0_e1_probe_e3_e7,mixed_adaptive_topology_response,B,base_stabilized_coupling,forward,0.2,5,0.3,0.0,0.0,0.0,0.0,0.0,0.0260456846186178,2.4570351352126023,1.7878491074392762,0.6645708447037152,1.1232782627355609,0.000999572475489,14.09615963962145,0.0,0.0,0.0,0.0,memory_decay_or_suppression,backward,1,0.0,0.0,0.0,0.0,0.0,0.1388017821085317,2.4570351352126023,2.614321081390377,2.522971232122139,0.0913498492682376,0.0867860848910416,1.7743720459435368,0.0,0.0,0.0,0.0,memory_decay_or_suppression,0.0,0.0,1.858400387418424,0.9884823416365368,False,False,False,0.4952823501150165,True,True,True,False,False,False,0.0,0.0857865124155526,1.9574172528791403
