state_noise,coupling_noise,memory_state,count,probability
0.0,0.0,topology_only_memory_survived,150,1.0
0.0,0.001,memory_erased,22,0.14666666666666667
0.0,0.001,mixed_or_weak_memory,34,0.22666666666666666
0.0,0.001,partial_topology_memory,54,0.36
0.0,0.001,topology_only_memory_survived,40,0.26666666666666666
0.0,0.005,memory_erased,24,0.16
0.0,0.005,mixed_or_weak_memory,34,0.22666666666666666
0.0,0.005,partial_topology_memory,53,0.35333333333333333
0.0,0.005,topology_only_memory_survived,39,0.26
0.0,0.01,memory_erased,19,0.12666666666666668
0.0,0.01,mixed_or_weak_memory,25,0.16666666666666666
0.0,0.01,partial_topology_memory,52,0.3466666666666667
0.0,0.01,topology_only_memory_survived,54,0.36
0.0,0.025,memory_erased,16,0.10666666666666667
0.0,0.025,mixed_or_weak_memory,30,0.2
0.0,0.025,partial_topology_memory,56,0.37333333333333335
0.0,0.025,topology_only_memory_survived,48,0.32
0.0,0.05,memory_erased,13,0.08666666666666667
0.0,0.05,mixed_or_weak_memory,32,0.21333333333333335
0.0,0.05,partial_topology_memory,64,0.4266666666666667
0.0,0.05,topology_only_memory_survived,41,0.2733333333333333
0.0,0.1,memory_erased,30,0.2
0.0,0.1,mixed_or_weak_memory,34,0.22666666666666666
0.0,0.1,partial_topology_memory,41,0.2733333333333333
0.0,0.1,topology_only_memory_survived,45,0.3
0.0,0.2,memory_erased,26,0.17333333333333334
0.0,0.2,mixed_or_weak_memory,39,0.26
0.0,0.2,partial_topology_memory,56,0.37333333333333335
0.0,0.2,topology_only_memory_survived,29,0.19333333333333333
0.001,0.0,topology_only_memory_survived,150,1.0
0.001,0.001,memory_erased,25,0.16666666666666666
0.001,0.001,mixed_or_weak_memory,36,0.24
0.001,0.001,partial_topology_memory,49,0.32666666666666666
0.001,0.001,topology_only_memory_survived,40,0.26666666666666666
0.001,0.005,memory_erased,25,0.16666666666666666
0.001,0.005,mixed_or_weak_memory,24,0.16
0.001,0.005,partial_topology_memory,52,0.3466666666666667
0.001,0.005,topology_only_memory_survived,49,0.32666666666666666
0.001,0.01,memory_erased,23,0.15333333333333332
0.001,0.01,mixed_or_weak_memory,37,0.24666666666666667
0.001,0.01,partial_topology_memory,49,0.32666666666666666
0.001,0.01,topology_only_memory_survived,41,0.2733333333333333
0.001,0.025,memory_erased,30,0.2
0.001,0.025,mixed_or_weak_memory,27,0.18
0.001,0.025,partial_topology_memory,50,0.3333333333333333
0.001,0.025,topology_only_memory_survived,43,0.2866666666666667
0.001,0.05,memory_erased,26,0.17333333333333334
0.001,0.05,mixed_or_weak_memory,29,0.19333333333333333
0.001,0.05,partial_topology_memory,53,0.35333333333333333
0.001,0.05,topology_only_memory_survived,42,0.28
0.001,0.1,memory_erased,23,0.15333333333333332
0.001,0.1,mixed_or_weak_memory,37,0.24666666666666667
0.001,0.1,partial_topology_memory,48,0.32
0.001,0.1,topology_only_memory_survived,42,0.28
0.001,0.2,memory_erased,33,0.22
0.001,0.2,mixed_or_weak_memory,29,0.19333333333333333
0.001,0.2,partial_topology_memory,61,0.4066666666666667
0.001,0.2,topology_only_memory_survived,27,0.18
0.005,0.0,topology_only_memory_survived,150,1.0
0.005,0.001,memory_erased,24,0.16
0.005,0.001,mixed_or_weak_memory,30,0.2
0.005,0.001,partial_topology_memory,42,0.28
0.005,0.001,topology_only_memory_survived,54,0.36
0.005,0.005,memory_erased,18,0.12
0.005,0.005,mixed_or_weak_memory,33,0.22
0.005,0.005,partial_topology_memory,49,0.32666666666666666
0.005,0.005,topology_only_memory_survived,50,0.3333333333333333
0.005,0.01,memory_erased,19,0.12666666666666668
0.005,0.01,mixed_or_weak_memory,33,0.22
0.005,0.01,partial_topology_memory,46,0.30666666666666664
0.005,0.01,topology_only_memory_survived,52,0.3466666666666667
0.005,0.025,memory_erased,18,0.12
0.005,0.025,mixed_or_weak_memory,27,0.18
0.005,0.025,partial_topology_memory,51,0.34
0.005,0.025,topology_only_memory_survived,54,0.36
0.005,0.05,memory_erased,24,0.16
0.005,0.05,mixed_or_weak_memory,25,0.16666666666666666
0.005,0.05,partial_topology_memory,57,0.38
0.005,0.05,topology_only_memory_survived,44,0.29333333333333333
0.005,0.1,memory_erased,21,0.14
0.005,0.1,mixed_or_weak_memory,37,0.24666666666666667
0.005,0.1,partial_topology_memory,51,0.34
0.005,0.1,topology_only_memory_survived,41,0.2733333333333333
0.005,0.2,memory_erased,32,0.21333333333333335
0.005,0.2,mixed_or_weak_memory,28,0.18666666666666668
0.005,0.2,partial_topology_memory,59,0.3933333333333333
0.005,0.2,topology_only_memory_survived,31,0.20666666666666667
0.01,0.0,topology_only_memory_survived,150,1.0
0.01,0.001,memory_erased,23,0.15333333333333332
0.01,0.001,mixed_or_weak_memory,37,0.24666666666666667
0.01,0.001,partial_topology_memory,46,0.30666666666666664
0.01,0.001,topology_only_memory_survived,44,0.29333333333333333
0.01,0.005,memory_erased,24,0.16
0.01,0.005,mixed_or_weak_memory,25,0.16666666666666666
0.01,0.005,partial_topology_memory,48,0.32
0.01,0.005,topology_only_memory_survived,53,0.35333333333333333
0.01,0.01,memory_erased,21,0.14
0.01,0.01,mixed_or_weak_memory,28,0.18666666666666668
0.01,0.01,partial_topology_memory,52,0.3466666666666667
0.01,0.01,topology_only_memory_survived,49,0.32666666666666666
0.01,0.025,memory_erased,14,0.09333333333333334
0.01,0.025,mixed_or_weak_memory,26,0.17333333333333334
0.01,0.025,partial_topology_memory,48,0.32
0.01,0.025,topology_only_memory_survived,62,0.41333333333333333
0.01,0.05,memory_erased,16,0.10666666666666667
0.01,0.05,mixed_or_weak_memory,33,0.22
0.01,0.05,partial_topology_memory,58,0.38666666666666666
