coordinate,count,missing,mean,median,std,min,max
X_transport_memory,1428,0,0.4921909488581465,0.6150557465671275,0.3749221444573587,0.0,0.9999999999838048
Y_topology_memory,1428,0,0.6399835715079459,0.6812735657962445,0.2590746761646218,0.0033553500882277,0.9999482667506884
E_entropy_memory,1428,0,0.20341868472737348,0.1295839994697447,0.2591134014509327,0.0006675726421176,2.4431137947486428
M_memory_strength,1428,0,0.5124083482273712,0.4983185221881887,0.2330046462777869,0.02372491462714,0.9802543171818195
Z_basin_survival,64,1364,0.6744791666666666,0.6266666666666667,0.13340503197900455,0.4866666666666667,1.0
P_erasure,64,1364,0.13010416666666663,0.1433333333333333,0.059982268838015024,0.0,0.22
P_topology_only_survival,64,1364,0.37375,0.29,0.2429851825560541,0.1666666666666666,1.0
R_memory_retention,64,1364,0.4693898826520084,0.396185119031995,0.20414467145900436,0.3145966420019945,0.9999986423962064
XY_memory_radius,1428,0,0.8730928372003323,0.9658605044359623,0.3116868532893415,0.0161181459035181,1.4092309381820511
topology_minus_transport_memory,1428,0,0.1477926226497995,0.02349984569997371,0.43529175613867915,-0.8492373937998243,0.9999482667506884
transport_topology_asymmetry,1428,0,0.2275263356387753,0.016547893852739713,0.5226192507374574,-0.9848440869342391,0.999999999999
normalized_entropy_memory,1428,0,0.08301149488986785,0.05278168487836281,0.10608765880108113,0.0,0.9999999999995905
normalized_memory_strength,1428,0,0.5108922237984056,0.4961620691355827,0.24359381494728669,0.0,0.9999999999989546
basin_depth_proxy,1428,0,0.28051939213936306,0.02786030072100687,0.4015012533228608,0.0,2.3184899408233375
basin_depth_proxy_norm,1428,0,0.12099228346862036,0.012016571748032324,0.17317360159867992,0.0,0.9999999999995687
