phase14_case_key,source_table,model_name,case_category,phase14_initial_basin_class,X_transport_memory,Y_topology_memory,E_entropy_memory,M_memory_strength,Z_basin_survival,P_erasure,P_topology_only_survival,R_memory_retention,XY_memory_radius,topology_minus_transport_memory,transport_topology_asymmetry,normalized_entropy_memory,normalized_memory_strength,basin_depth_proxy,basin_depth_proxy_norm,phase14_basin_class,relaxation_layer
0,hysteresis,neutral_coupling,fracture_precursor,coupled_memory_basin,0.7671014308863727,0.5852246024968951,0.0683188875623339,0.5665405975352875,1.0,0.0,1.0,0.9999986423962064,0.9648484029294805,-0.1818768283894776,-0.13449184878466117,0.02769817992628787,0.5674845764885416,1.9999986423962064,0.8626298553985134,stable_coupled_memory_basin,transport_and_topology_unrelaxed
1,hysteresis,neutral_coupling,fracture_precursor,transport_dominant_basin,0.6411378529154506,0.1107276714517892,0.0026770736118013,0.3508698277358648,0.6266666666666667,0.1466666666666666,0.2666666666666666,0.3822647866814973,0.6506292059738552,-0.5304101814636614,-0.7054588410731324,0.0008227411320236777,0.34201239630966984,0.8622647866814973,0.37190792657695104,transport_dominant_basin,transport_unrelaxed_topology_relaxed
2,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.3815645140317336,0.3478964161946532,0.0670544843837106,0.3246754594604195,0.6133333333333333,0.16,0.26,0.3880313970596875,0.5163558799600876,-0.03366809783708036,-0.04615476503530542,0.027180500901391152,0.31462759433133175,0.8413647303930208,0.3628934141909083,transition_basin,intermediate_relaxation
3,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.0843445921032675,0.4997414166445647,0.0652175019413814,0.2092573244755258,0.7066666666666667,0.1266666666666666,0.36,0.4418386452849048,0.5068091294826712,0.41539682454129717,0.7111911915697429,0.02642839327023761,0.19396414721040003,1.4372354698262018,0.6199015335452323,transition_basin,intermediate_relaxation
4,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.4740948020234867,0.4744902873061405,0.0372189449449167,0.3778660760556944,0.6933333333333334,0.1066666666666666,0.32,0.4209097243949329,0.6707510074935056,0.000395485282653818,0.00041692125155888093,0.014965067386933024,0.37023552070887844,1.0079718763442533,0.4347536120798823,transition_basin,intermediate_relaxation
5,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.6822522746887347,0.4146541634030529,0.1546212173210377,0.580837036604303,0.7,0.0866666666666666,0.2733333333333333,0.4264360236761521,0.7983772551528747,-0.26759811128568184,-0.2439570978824409,0.06303256271742082,0.5824307339519901,1.0397693570094855,0.4484683494636152,transition_basin,intermediate_relaxation
6,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.7805068101319568,0.4236564461229901,0.2310393002032063,0.6659873426378876,0.5733333333333334,0.2,0.3,0.3893974901511021,0.8880741326060141,-0.3568503640089667,-0.2963471623594513,0.09432008184086312,0.6714507952340352,0.7627308234844354,0.328977413295676,transition_basin,intermediate_relaxation
7,hysteresis,neutral_coupling,fracture_precursor,coupled_memory_basin,0.88569566137908,0.8536314102393115,0.0879002006589244,0.7275904837930725,0.5666666666666667,0.1733333333333333,0.1933333333333333,0.3468587491709503,1.2300989346930116,-0.03206425113976841,-0.01843486004614138,0.035715270709844316,0.7358535631893035,0.7401920825042836,0.31925611126055126,stable_coupled_memory_basin,transport_and_topology_unrelaxed
8,hysteresis,neutral_coupling,fracture_precursor,transport_dominant_basin,0.7912281806168585,0.3939170328193763,0.1736779109861088,0.6406930361962151,1.0,0.0,1.0,0.9999986423962064,0.8838623549781299,-0.3973111477974822,-0.33524258740004925,0.07083486087759384,0.6450069594522071,1.9999986423962064,0.8626298553985134,transport_dominant_basin,transport_unrelaxed_topology_relaxed
9,hysteresis,neutral_coupling,fracture_precursor,transport_dominant_basin,0.5402483288088658,0.3386540289952827,0.212502144118579,0.5230553983518689,0.5933333333333334,0.1666666666666666,0.2666666666666666,0.390626565744966,0.6376165055387997,-0.20159429981358307,-0.22937053021113443,0.08673049566416849,0.5220231415684714,0.8172932324116328,0.352511010731858,transport_dominant_basin,transport_unrelaxed_topology_relaxed
10,hysteresis,neutral_coupling,fracture_precursor,topology_only_basin,0.0757725880889391,0.5245960709722814,0.0809796110829594,0.2376442272487822,0.6733333333333333,0.1666666666666666,0.3266666666666666,0.4150388538214856,0.5300401143170684,0.44882348288334234,0.7475798013580645,0.03288180419855573,0.22364112598116395,1.3705290033714947,0.591130019259089,stable_topology_only_basin,transport_relaxed_topology_persistent
11,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.6009240700106019,0.4871928580304351,0.1084346041354114,0.5119708012482065,0.6,0.1533333333333333,0.2733333333333333,0.3994127036401095,0.7736062427578841,-0.11373121198016678,-0.1045211310008891,0.044122581090159825,0.5104347919850228,0.8460793703067762,0.3649269101447786,transition_basin,intermediate_relaxation
12,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.8107130297244122,0.4579281971706357,0.232688256174534,0.6986580796284204,0.62,0.2,0.2866666666666667,0.39091407224797,0.9311035658447905,-0.35278483255377646,-0.27808085144523176,0.09499520662207729,0.7056062920784002,0.81091407224797,0.34975958185941064,transition_basin,intermediate_relaxation
13,hysteresis,neutral_coupling,fracture_precursor,coupled_memory_basin,0.8899328355531735,0.5156532943461981,0.3077528663473674,0.7761228953695434,0.6333333333333333,0.1733333333333333,0.28,0.3972767936092722,1.028532338706858,-0.3742795412069754,-0.2662800473376216,0.12572857937493243,0.7865915869727865,0.8572767936092722,0.3697565292452673,stable_coupled_memory_basin,transport_and_topology_unrelaxed
14,hysteresis,neutral_coupling,fracture_precursor,coupled_memory_basin,0.900861251138424,0.9653677908975,0.2149126338088938,0.857301390914895,0.6,0.1533333333333333,0.28,0.4000696909720036,1.3204112864956152,0.06450653975907605,0.03456517839239572,0.08771741184209557,0.8714593341935797,0.9112428973977462,0.39303293119906935,stable_coupled_memory_basin,transport_and_topology_unrelaxed
15,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.8097120678294928,0.4804979138548393,0.3457238418518256,0.7419255230953363,0.5866666666666667,0.22,0.18,0.3345502425308141,0.9415475973138935,-0.3292141539746535,-0.2551632359444458,0.1412748686486811,0.7508400751187467,0.7012169091974808,0.3024455257926043,transition_basin,intermediate_relaxation
16,hysteresis,neutral_coupling,fracture_precursor,transport_dominant_basin,0.5676211641796782,0.245275479481812,0.2076121593526236,0.5126238664897044,1.0,0.0,1.0,0.9999986423962064,0.6183476747427179,-0.32234568469786623,-0.3965395689734232,0.0847284107373053,0.5111175365402378,1.9999986423962064,0.8626298553985134,transport_dominant_basin,transport_unrelaxed_topology_relaxed
17,hysteresis,neutral_coupling,fracture_precursor,transition_basin,0.0476986299738319,0.3366193975081525,0.006868176748525,0.1192552922894393,0.64,0.16,0.36,0.425273482818446,0.3399820261133405,0.2889207675343206,0.7517752144663902,0.0025386860313579614,0.09987186740633253,1.1941942503527667,0.5150741563830861,transition_basin,intermediate_relaxation
18,hysteresis,neutral_coupling,fracture_precursor,transport_dominant_basin,0.6029286848789541,0.3139314340353988,0.082703513259406,0.453325582783194,0.66,0.12,0.3333333333333333,0.4151773764508494,0.6797616820072953,-0.2889972508435553,-0.3152032080809007,0.03358761387446298,0.44912437297613234,0.9551773764508494,0.41198254071839396,transport_dominant_basin,transport_unrelaxed_topology_relaxed
19,hysteresis,neutral_coupling,fracture_precursor,transport_dominant_basin,0.8198013854209366,0.3835720517644286,0.170442115521042,0.6515371281124319,0.6533333333333333,0.1266666666666666,0.3466666666666667,0.4305198247978219,0.9050976910990661,-0.436229333656508,-0.36250537046626663,0.06951004339101896,0.6563438738086746,0.9571864914644886,0.4128491026034651,transport_dominant_basin,transport_unrelaxed_topology_relaxed
20,hysteresis,neutral_coupling,fracture_precursor,coupled_memory_basin,0.9025363738655996,0.5752524447040153,0.2729367969605518,0.7879571816931549,0.7,0.12,0.36,0.4603808109567611,1.0702743953250549,-0.32728392916158433,-0.2214686733644042,0.11147398941848552,0.7989636962796123,1.0403808109567612,0.44873207885769584,stable_coupled_memory_basin,transport_and_topology_unrelaxed
21,hysteresis,suppression_sensitive_coupling,fracture_precursor,coupled_memory_basin,0.9999999998722978,0.7188798531265163,0.1132350994722344,0.777321503857715,0.6733333333333333,0.16,0.2933333333333333,0.4006284120023375,1.2315795723280722,-0.28112014674578156,-0.16354845642943955,0.04608802675417153,0.7878446676255811,0.9139617453356709,0.39420561169685836,stable_coupled_memory_basin,transport_and_topology_unrelaxed
22,hysteresis,suppression_sensitive_coupling,fracture_precursor,transport_dominant_basin,0.9999999998179472,0.3517689806787135,0.0537030330020309,0.624969556038296,0.6133333333333333,0.14,0.2733333333333333,0.3807261614866457,1.060066703280334,-0.6482310191392338,-0.47954275360023735,0.021714074962989497,0.6285689073485199,0.854059494819979,0.3683688593086234,transport_dominant_basin,transport_unrelaxed_topology_relaxed
23,hysteresis,suppression_sensitive_coupling,fracture_precursor,transport_dominant_basin,0.8587794605536964,0.1721088332547462,0.0106870905364528,0.4855983341439499,0.6,0.2133333333333333,0.2066666666666666,0.3516034535967096,0.875855931277061,-0.6866706272989501,-0.6660960565974567,0.00410224708476472,0.4828637972682959,0.7382701202633762,0.3184271396928661,transport_dominant_basin,transport_unrelaxed_topology_relaxed
24,hysteresis,suppression_sensitive_coupling,fracture_precursor,transition_basin,0.111405985301076,0.429897283728207,0.0345148232710119,0.1843828304815856,1.0,0.0,1.0,0.9999986423962064,0.4440979262705401,0.31849129842713103,0.5883786717151954,0.013857930759142104,0.167959202743999,2.3184899408233375,0.9999999999995687,transition_basin,intermediate_relaxation
25,hysteresis,suppression_sensitive_coupling,fracture_precursor,transition_basin,0.9083551757370264,0.4579184558109067,0.0468811484463325,0.6030750046055356,0.6,0.1533333333333333,0.2933333333333333,0.3830376247890203,1.0172504300615899,-0.4504367199261197,-0.3296826561861282,0.01892102081344431,0.6056793324182962,0.8297042914556869,0.3578640893997953,transition_basin,intermediate_relaxation
