state_noise,coupling_noise,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
0.0,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.0,0.001,150,4,1.3382385708305178,0.965335074831761,0.965335074831761,partial_topology_memory,0.36,0.14666666666666667,0.22666666666666666,0.36,0.26666666666666666
0.0,0.005,150,4,1.3474757915454636,0.9719983210902855,0.9719983210902855,partial_topology_memory,0.35333333333333333,0.16,0.22666666666666666,0.35333333333333333,0.26
0.0,0.01,150,4,1.295394973385773,0.9344299520480728,0.9344299520480728,topology_only_memory_survived,0.36,0.12666666666666668,0.16666666666666666,0.3466666666666667,0.36
0.0,0.025,150,4,1.293070732693267,0.9327533667876174,0.9327533667876174,partial_topology_memory,0.37333333333333335,0.10666666666666667,0.2,0.37333333333333335,0.32
0.0,0.05,150,4,1.2594828767196766,0.9085248501640216,0.9085248501640216,partial_topology_memory,0.4266666666666667,0.08666666666666667,0.21333333333333335,0.4266666666666667,0.2733333333333333
0.0,0.1,150,4,1.3740456536872214,0.9911644252647942,0.9911644252647942,topology_only_memory_survived,0.3,0.2,0.22666666666666666,0.2733333333333333,0.3
0.0,0.2,150,4,1.33956404117365,0.9662911995772021,0.9662911995772021,partial_topology_memory,0.37333333333333335,0.17333333333333334,0.26,0.37333333333333335,0.19333333333333333
0.001,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.001,0.001,150,4,1.3590822929089015,0.9803706420698369,0.9803706420698369,partial_topology_memory,0.32666666666666666,0.16666666666666666,0.24,0.32666666666666666,0.26666666666666666
0.001,0.005,150,4,1.3245749239381848,0.9554788370257475,0.9554788370257475,partial_topology_memory,0.3466666666666667,0.16666666666666666,0.16,0.3466666666666667,0.32666666666666666
0.001,0.01,150,4,1.3527954335862284,0.9758356316860435,0.9758356316860435,partial_topology_memory,0.32666666666666666,0.15333333333333332,0.24666666666666667,0.32666666666666666,0.2733333333333333
0.001,0.025,150,4,1.3549268135748422,0.977373097355955,0.977373097355955,partial_topology_memory,0.3333333333333333,0.2,0.18,0.3333333333333333,0.2866666666666667
0.001,0.05,150,4,1.345504064467388,0.9705760206515224,0.9705760206515224,partial_topology_memory,0.35333333333333333,0.17333333333333334,0.19333333333333333,0.35333333333333333,0.28
0.001,0.1,150,4,1.3538346125916758,0.9765852408849208,0.9765852408849208,partial_topology_memory,0.32,0.15333333333333332,0.24666666666666667,0.32,0.28
0.001,0.2,150,4,1.3253870961316525,0.9560646954236794,0.9560646954236794,partial_topology_memory,0.4066666666666667,0.22,0.19333333333333333,0.4066666666666667,0.18
0.005,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.005,0.001,150,4,1.3393254550256717,0.9661190960509455,0.9661190960509455,topology_only_memory_survived,0.36,0.16,0.2,0.28,0.36
0.005,0.005,150,4,1.3192233871005703,0.9516185191973671,0.9516185191973671,topology_only_memory_survived,0.3333333333333333,0.12,0.22,0.32666666666666666,0.3333333333333333
0.005,0.01,150,4,1.324560175847664,0.9554681985272191,0.9554681985272191,topology_only_memory_survived,0.3466666666666667,0.12666666666666668,0.22,0.30666666666666664,0.3466666666666667
0.005,0.025,150,4,1.297685075378527,0.9360819114421108,0.9360819114421108,topology_only_memory_survived,0.36,0.12,0.18,0.34,0.36
0.005,0.05,150,4,1.3192789360360653,0.9516585892842497,0.9516585892842497,partial_topology_memory,0.38,0.16,0.16666666666666666,0.38,0.29333333333333333
0.005,0.1,150,4,1.341845321003953,0.9679367951262311,0.9679367951262311,partial_topology_memory,0.34,0.14,0.24666666666666667,0.34,0.2733333333333333
0.005,0.2,150,4,1.335744709403096,0.9635361340747581,0.9635361340747581,partial_topology_memory,0.3933333333333333,0.21333333333333335,0.18666666666666668,0.3933333333333333,0.20666666666666667
0.01,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.01,0.001,150,4,1.3550207749955316,0.9774408761937867,0.9774408761937867,partial_topology_memory,0.30666666666666664,0.15333333333333332,0.24666666666666667,0.30666666666666664,0.29333333333333333
0.01,0.005,150,4,1.3240465774836097,0.9550977156208041,0.9550977156208041,topology_only_memory_survived,0.35333333333333333,0.16,0.16666666666666666,0.32,0.35333333333333333
0.01,0.01,150,4,1.321298191091239,0.9531151739114442,0.9531151739114442,partial_topology_memory,0.3466666666666667,0.14,0.18666666666666668,0.3466666666666667,0.32666666666666666
0.01,0.025,150,4,1.2549200074326117,0.905233435717685,0.905233435717685,topology_only_memory_survived,0.41333333333333333,0.09333333333333334,0.17333333333333334,0.32,0.41333333333333333
