state_noise,coupling_noise,combined_noise_radius,trial_count,count_topology_only_memory_survived,p_topology_only_memory_survived,count_partial_topology_memory,p_partial_topology_memory,count_mixed_or_weak_memory,p_mixed_or_weak_memory,count_memory_erased,p_memory_erased,dominant_state,dominant_probability,transition_entropy,transition_entropy_norm,degradation_index,survival_mass,erasure_mass,ambiguous_mass,boundary_regime,memory_loss_mass,partial_retention_ratio,erasure_given_loss,boundary_thickness_proxy,erosion_index
0.0,0.0,0.0,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.0,0.001,0.001,150,40,0.2666666666666666,54,0.36,34,0.2266666666666666,22,0.1466666666666666,partial_topology_memory,0.36,1.3382385708305178,0.965335074831761,0.4177777777777778,0.6266666666666667,0.1466666666666666,0.5866666666666667,survival_dominant_basin,0.3733333333333332,0.5744680851054663,0.3928571428560906,0.617814447892327,0.6444444444444444
0.0,0.005,0.005,150,39,0.26,53,0.3533333333333333,34,0.2266666666666666,24,0.16,partial_topology_memory,0.3533333333333333,1.3474757915454636,0.9719983210902856,0.4288888888888889,0.6133333333333333,0.16,0.58,broad_transition_boundary,0.3866666666666666,0.5760869565207999,0.4137931034472058,0.6285589143050514,0.6555555555555554
0.0,0.01,0.01,150,54,0.36,52,0.3466666666666667,25,0.1666666666666666,19,0.1266666666666666,topology_only_memory_survived,0.36,1.295394973385773,0.9344299520480728,0.3533333333333333,0.7066666666666667,0.1266666666666666,0.5133333333333333,survival_dominant_basin,0.2933333333333332,0.4905660377351549,0.43181818181670967,0.5980351693107666,0.5199999999999999
0.0,0.025,0.025,150,48,0.32,56,0.3733333333333333,30,0.2,16,0.1066666666666666,partial_topology_memory,0.3733333333333333,1.293070732693267,0.9327533667876174,0.3644444444444445,0.6933333333333334,0.1066666666666666,0.5733333333333334,survival_dominant_basin,0.30666666666666664,0.5384615384607617,0.34782608695538736,0.5845254431869069,0.5644444444444446
0.0,0.05,0.05,150,41,0.2733333333333333,64,0.4266666666666667,32,0.2133333333333333,13,0.0866666666666666,partial_topology_memory,0.4266666666666667,1.2594828767196766,0.9085248501640216,0.3711111111111111,0.7,0.0866666666666666,0.64,survival_dominant_basin,0.2999999999999999,0.6095238095229388,0.28888888888792585,0.5208875807607056,0.5844444444444444
0.0,0.1,0.1,150,45,0.3,41,0.2733333333333333,34,0.2266666666666666,30,0.2,topology_only_memory_survived,0.3,1.3740456536872214,0.9911644252647942,0.4422222222222223,0.5733333333333333,0.2,0.5,broad_transition_boundary,0.42666666666666664,0.47674418604568014,0.46874999999890143,0.6938150976853559,0.6688888888888889
0.0,0.2,0.2,150,29,0.1933333333333333,56,0.3733333333333333,39,0.26,26,0.1733333333333333,partial_topology_memory,0.3733333333333333,1.33956404117365,0.966291199577202,0.4711111111111111,0.5666666666666667,0.1733333333333333,0.6333333333333333,broad_transition_boundary,0.43333333333333335,0.6588235294106021,0.39999999999907687,0.6055424850683799,0.731111111111111
0.001,0.0,0.001,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.001,0.001,0.001414213562373,150,40,0.2666666666666666,49,0.3266666666666666,36,0.24,25,0.1666666666666666,partial_topology_memory,0.3266666666666666,1.3590822929089017,0.9803706420698368,0.4355555555555555,0.5933333333333333,0.1666666666666666,0.5666666666666667,broad_transition_boundary,0.4066666666666666,0.5505617977518811,0.4098360655727626,0.6601162323270234,0.6755555555555555
0.001,0.005,0.0050990195135927,150,49,0.3266666666666666,52,0.3466666666666667,24,0.16,25,0.1666666666666666,partial_topology_memory,0.3466666666666667,1.3245749239381848,0.9554788370257477,0.3888888888888889,0.6733333333333333,0.1666666666666666,0.5066666666666667,broad_transition_boundary,0.3266666666666666,0.5148514851477503,0.5102040816310911,0.6242461735234884,0.5488888888888889
0.001,0.01,0.0100498756211208,150,41,0.2733333333333333,49,0.3266666666666666,37,0.2466666666666666,23,0.1533333333333333,partial_topology_memory,0.3266666666666666,1.3527954335862284,0.9758356316860436,0.4266666666666667,0.6,0.1533333333333333,0.5733333333333334,broad_transition_boundary,0.3999999999999999,0.5444444444435371,0.383333333332375,0.6570626586686027,0.6733333333333333
0.001,0.025,0.0250199920063936,150,43,0.2866666666666667,50,0.3333333333333333,27,0.18,30,0.2,partial_topology_memory,0.3333333333333333,1.3549268135748422,0.977373097355955,0.431111111111111,0.62,0.2,0.5133333333333333,broad_transition_boundary,0.38,0.5376344086012834,0.5263157894722992,0.6515820649039701,0.6111111111111109
0.001,0.05,0.0500099990001999,150,42,0.28,53,0.3533333333333333,29,0.1933333333333333,26,0.1733333333333333,partial_topology_memory,0.3533333333333333,1.345504064467388,0.9705760206515224,0.4199999999999999,0.6333333333333333,0.1733333333333333,0.5466666666666666,broad_transition_boundary,0.3666666666666666,0.5578947368412244,0.4727272727259835,0.6276391600213178,0.6133333333333331
0.001,0.1,0.1000049998750062,150,42,0.28,48,0.32,37,0.2466666666666666,23,0.1533333333333333,partial_topology_memory,0.32,1.3538346125916758,0.9765852408849208,0.4244444444444444,0.6000000000000001,0.1533333333333333,0.5666666666666667,broad_transition_boundary,0.3999999999999999,0.5333333333324444,0.383333333332375,0.6640779638017461,0.671111111111111
0.001,0.2,0.2000024999843752,150,27,0.18,61,0.4066666666666667,29,0.1933333333333333,33,0.22,partial_topology_memory,0.4066666666666667,1.3253870961316527,0.9560646954236796,0.4844444444444444,0.5866666666666667,0.22,0.6,broad_transition_boundary,0.41333333333333333,0.6931818181806366,0.5322580645148414,0.5672650526180498,0.6777777777777778
0.005,0.0,0.005,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.005,0.001,0.0050990195135927,150,54,0.36,42,0.28,30,0.2,24,0.16,topology_only_memory_survived,0.36,1.3393254550256717,0.9661190960509456,0.3866666666666666,0.64,0.16,0.48,broad_transition_boundary,0.36,0.43749999999931644,0.4444444444432099,0.6183162214726052,0.5866666666666666
0.005,0.005,0.0070710678118654,150,50,0.3333333333333333,49,0.3266666666666666,33,0.22,18,0.12,topology_only_memory_survived,0.3333333333333333,1.3192233871005703,0.9516185191973672,0.3755555555555556,0.6599999999999999,0.12,0.5466666666666666,survival_dominant_basin,0.33999999999999997,0.494949494948745,0.3529411764695502,0.6344123461315782,0.5955555555555555
0.005,0.01,0.0111803398874989,150,52,0.3466666666666667,46,0.3066666666666666,33,0.22,19,0.1266666666666666,topology_only_memory_survived,0.3466666666666667,1.324560175847664,0.9554681985272192,0.3755555555555556,0.6533333333333333,0.1266666666666666,0.5266666666666666,survival_dominant_basin,0.34666666666666657,0.46938775510132225,0.3653846153835613,0.6242392230377832,0.5955555555555555
0.005,0.025,0.0254950975679639,150,54,0.36,51,0.34,27,0.18,18,0.12,topology_only_memory_survived,0.36,1.297685075378527,0.9360819114421108,0.3533333333333333,0.7,0.12,0.52,survival_dominant_basin,0.3,0.48571428571359193,0.3999999999986667,0.599092423322951,0.5333333333333333
0.005,0.05,0.0502493781056044,150,44,0.2933333333333333,57,0.38,25,0.1666666666666666,24,0.16,partial_topology_memory,0.38,1.3192789360360653,0.9516585892842496,0.3977777777777777,0.6733333333333333,0.16,0.5466666666666666,broad_transition_boundary,0.3266666666666666,0.5643564356427262,0.4897959183658477,0.5900283253562347,0.5644444444444442
0.005,0.1,0.1001249219725039,150,41,0.2733333333333333,51,0.34,37,0.2466666666666666,21,0.14,partial_topology_memory,0.34,1.341845321003953,0.9679367951262312,0.4177777777777778,0.6133333333333333,0.14,0.5866666666666667,survival_dominant_basin,0.3866666666666666,0.5543478260860528,0.36206896551630513,0.6388382847833125,0.6644444444444444
0.005,0.2,0.2000624902374256,150,31,0.2066666666666666,59,0.3933333333333333,28,0.1866666666666666,32,0.2133333333333333,partial_topology_memory,0.3933333333333333,1.335744709403096,0.963536134074758,0.4688888888888888,0.6,0.2133333333333333,0.58,broad_transition_boundary,0.3999999999999999,0.6555555555544631,0.5333333333320001,0.5845452546720199,0.6555555555555554
0.01,0.0,0.01,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0,deep_survival_basin,0.0,0.0,0.0,-0.0,0.0
0.01,0.001,0.0100498756211208,150,44,0.2933333333333333,46,0.3066666666666666,37,0.2466666666666666,23,0.1533333333333333,partial_topology_memory,0.3066666666666666,1.3550207749955316,0.9774408761937868,0.4200000000000001,0.6,0.1533333333333333,0.5533333333333333,broad_transition_boundary,0.3999999999999999,0.5111111111102593,0.383333333332375,0.6776923408276923,0.6666666666666667
0.01,0.005,0.0111803398874989,150,53,0.3533333333333333,48,0.32,25,0.1666666666666666,24,0.16,topology_only_memory_survived,0.3533333333333333,1.3240465774836097,0.955097715620804,0.3777777777777777,0.6733333333333333,0.16,0.4866666666666667,broad_transition_boundary,0.3266666666666666,0.47524752475176946,0.4897959183658477,0.6176298561014534,0.5444444444444443
0.01,0.01,0.0141421356237309,150,49,0.3266666666666666,52,0.3466666666666667,28,0.1866666666666666,21,0.14,partial_topology_memory,0.3466666666666667,1.321298191091239,0.9531151739114442,0.3799999999999999,0.6733333333333333,0.14,0.5333333333333333,survival_dominant_basin,0.3266666666666666,0.5148514851477503,0.42857142857011676,0.6227019136221436,0.5666666666666665
0.01,0.025,0.0269258240356725,150,62,0.4133333333333333,48,0.32,26,0.1733333333333333,14,0.0933333333333333,topology_only_memory_survived,0.4133333333333333,1.2549200074326117,0.905233435717685,0.3155555555555556,0.7333333333333334,0.0933333333333333,0.4933333333333333,survival_dominant_basin,0.2666666666666666,0.4363636363630414,0.34999999999868747,0.5310702822877086,0.48888888888888893
0.01,0.05,0.0509901951359278,150,43,0.2866666666666667,58,0.3866666666666666,33,0.22,16,0.1066666666666666,partial_topology_memory,0.3866666666666666,1.2974121696246166,0.9358850515532126,0.3822222222222222,0.6733333333333333,0.1066666666666666,0.6066666666666667,survival_dominant_basin,0.3266666666666666,0.5742574257417213,0.3265306122438983,0.5740094982859705,0.6022222222222222
0.01,0.1,0.1004987562112089,150,32,0.2133333333333333,57,0.38,41,0.2733333333333333,20,0.1333333333333333,partial_topology_memory,0.38,1.320444818348809,0.9524995955996772,0.4422222222222222,0.5933333333333334,0.1333333333333333,0.6533333333333333,broad_transition_boundary,0.4066666666666666,0.6404494382011678,0.3278688524582101,0.5905497492717999,0.7155555555555555
0.01,0.2,0.2002498439450079,150,30,0.2,62,0.4133333333333333,30,0.2,28,0.1866666666666666,partial_topology_memory,0.4133333333333333,1.3222626203800512,0.953810862587573,0.4577777777777778,0.6133333333333333,0.1866666666666666,0.6133333333333333,broad_transition_boundary,0.3866666666666666,0.6739130434771621,0.4827586206884066,0.5595690393847095,0.6577777777777778
