metric,value
output_rows,1428.0
topology_only_basin_total,311.0
topology_only_basin_total_ratio,0.2177871148459383
coupled_memory_basin_total,619.0
coupled_memory_basin_total_ratio,0.4334733893557422
transition_basin_count,400.0
transport_dominant_basin_count,82.0
erased_basin_count,16.0
mean_basin_entropy,1.1626363674414335
max_basin_entropy,1.3740456536872214
global_survival_mass,0.6744791666666667
global_erasure_mass,0.1301041666666666
global_degradation_index,0.360625
global_transition_entropy_norm,0.9475267266894628
mean_survival_mass,0.6744791666666666
min_survival_mass,0.4866666666666667
mean_erasure_mass,0.1301041666666666
max_erasure_mass,0.22
mean_boundary_thickness_proxy,0.5441110047491522
max_boundary_thickness_proxy,0.705517290770998
deep_survival_basin_count,8.0
survival_dominant_basin_count,24.0
broad_transition_boundary_count,32.0
collapse_boundary_count,0.0
